"times","east","north"
2000.4381,0.677481,0.255687
2000.4408,0.677403,0.255118
2000.4435,0.675334,0.253984
2000.4463,0.674779,0.254962
2000.449,0.677535,0.254643
2000.4517,0.672878,0.256813
2000.4545,0.6765,0.255527
2000.4572,0.675725,0.254514
2000.46,0.676889,0.255811
2000.4627,0.675273,0.255813
2000.4654,0.676844,0.25174
2000.4682,0.674734,0.252443
2000.4928,0.674287,0.249957
2000.4956,0.676031,0.252307
2000.4983,0.677534,0.251896
2000.501,0.676112,0.250879
2000.5038,0.677836,0.251682
2000.5065,0.674956,0.252834
2000.5092,0.676929,0.253115
2000.512,0.67671,0.253212
2000.5147,0.674554,0.251562
2000.5175,0.67375,0.253096
2000.5202,0.675434,0.253847
2000.5229,0.674306,0.254059
2000.5257,0.67227,0.252105
2000.5284,0.674621,0.253277
2000.5311,0.675926,0.252775
2000.5339,0.674429,0.249709
2000.5366,0.671386,0.248363
2000.5394,0.67378,0.249666
2000.5421,0.67337,0.253905
2000.5448,0.673323,0.252835
2000.5476,0.674248,0.253087
2000.5503,0.672238,0.254148
2000.553,0.674132,0.253738
2000.5558,0.674121,0.253429
2000.5585,0.672141,0.253189
2000.5613,0.671347,0.250977
2000.564,0.673962,0.25468
2000.5667,0.672797,0.253113
2000.5695,0.671799,0.25031
2000.5722,0.67548,0.252982
2000.5749,0.675249,0.252043
2000.5777,0.672301,0.252378
2000.5804,0.674048,0.253046
2000.5832,0.674615,0.252454
2000.5859,0.673381,0.253885
2000.5886,0.673822,0.251962
2000.5914,0.677119,0.253952
2000.5941,0.674576,0.252546
2000.5969,0.675631,0.252815
2000.5996,0.674465,0.25089
2000.6023,0.671858,0.253422
2000.6051,0.674796,0.251891
2000.6078,0.680356,0.25201
2000.6105,0.672665,0.253545
2000.6133,0.673017,0.254363
2000.616,0.676222,0.254855
2000.6188,0.675502,0.254867
2000.6215,0.672864,0.25282
2000.6242,0.676253,0.251058
2000.627,0.672807,0.25444
2000.6297,0.674544,0.253268
2000.6324,0.675743,0.254527
2000.6352,0.67486,0.254881
2000.6379,0.675584,0.250192
2000.6407,0.667861,0.252491
2000.6434,0.670428,0.255945
2000.6461,0.672585,0.255473
2000.6489,0.675915,0.251934
2000.6516,0.671347,0.251527
2000.6543,0.672964,0.253053
2000.6571,0.673964,0.250305
2000.6598,0.676598,0.248952
2000.6626,0.672218,0.25124
2000.6653,0.671995,0.25329
2000.668,0.670318,0.252384
2000.6708,0.666532,0.252371
2000.6735,0.673424,0.252101
2000.6762,0.67282,0.252308
2000.679,0.670622,0.252014
2000.6817,0.673679,0.251727
2000.6845,0.670704,0.253737
2000.6872,0.672425,0.254477
2000.6899,0.671316,0.251665
2000.6927,0.674779,0.255656
2000.6954,0.670307,0.253393
2000.6982,0.670965,0.253625
2000.7009,0.67038,0.253452
2000.7036,0.673083,0.250642
2000.7064,0.671637,0.254743
2000.7091,0.67164,0.252614
2000.7118,0.670007,0.252491
2000.7146,0.670366,0.250894
2000.7173,0.672161,0.253676
2000.7201,0.671953,0.253194
2000.7228,0.672686,0.255338
2000.7255,0.670461,0.25053
2000.7283,0.671246,0.254686
2000.731,0.675201,0.253439
2000.7337,0.673015,0.254586
2000.7365,0.674107,0.252313
2000.7392,0.675684,0.254505
2000.742,0.672418,0.251759
2000.7447,0.671017,0.252423
2000.7474,0.669817,0.252786
2000.7502,0.671619,0.252672
2000.7529,0.670404,0.251138
